Crash ID,Record Type,Serial #,Crash Month,Crash Day,Crash Year,Week Day Code,Crash Hour,County Code,City Section ID,Urban Area Code,Functional Class Code,NHS Flag,Highway Number,Highway Suffix,Roadway Number,Highway Component,Mileage Type,Connection Number,Linear Reference System (LRS),Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Degrees,Longitude Minutes,Longitude Seconds,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Special Jurisdiction,Jurisdiction Group,Street Number,Nearest Intersecting Street Number,Intersection Sequence Number,Distance from Intersection,Direction From Intersection,Milepoint,Posted Speed Limit,Road Character,Off Roadway Flag,Intersection Type,Intersection Related Flag,Roundabout Flag,Driveway Related Flag,Number of Lanes,Number of Turning Legs,Median Type,Impact Location,Crash Type,Collision Type,Crash Severity,Weather Condition,Road Surface Condition,Light Condition,Traffic Control Device (TCD),TCD Functional Flag,Investigating Agency,Crash Level Event 1 Code,Crash Level Event 2 Code,Crash Level Event 3 Code,Crash Level Cause 1 Code,Crash Level Cause 2 Code,Crash Level Cause 3 Code,School Zone Indicator,Work Zone Indicator,Secondary Crash Indicator,Alcohol-Involved Flag,Drugs Involved Flag,Crash Marijuana Involved Flag,Speed Involved Flag,Crash Level Hit & Run Flag,Population Range Code,Road Control,Route Type,Route Number,Region ID,District ID,Segment Marker ID,Segment Point LRS Measure,Unlocatable Flag,Total Vehicle Count,Total Fatality Count,Total Suspected Serious Injury (A) Count,Total Suspected Minor Injury (B) Count,Total Possible Injury (C) Count,Total Non-Fatal Injury Count,Total Un-Injured  Children Age 00-04,Total Un-Injured Persons,Total Pedestrian Count,Total Pedestrian Fatality Count,Total Pedestrian Non-Fatal Injury Count,Total Pedalcyclist Count,Total Pedalcyclist Fatality Count,Total Pedalcyclist Non-Fatal Injury Count,Total Unknown Non-Motorist Count,Total Unknown Non-Motorist Fatality Count,Total Unknown Non-Motorist Injury Count,Total Vehicle Occupant Count,Total Count of Persons Involved,Total Persons Using Safety Equipment  ,Total Persons Not Using Safety Equipment,Total Persons Safety Equipment Use Unknown,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 1 Code,Participant Cause 2 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code,BAC Test Results Code,Alcohol Use Reported,Drug Use Reported,Participant Marijuana Use Reported,Participant Striker Flag
1809119,1,99992,3,14,2019,5,14,26,0,57,14,1,26,,1,0,0,,002600100S00,45,27,40.62,-122,22,59.23,0,,,,,,9,16.77,55,1,0,1,0,0,0,0,2,,2,B,6,2,1,1,1,2,1,2,,,,1,,,0,0,0,0,1,0,,8,US,26,1,02C,293_10835,,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809229,1,2405,3,3,2019,1,2,3,185,68,14,1,26,,1,0,0,,002600100S00,45,24,20.47,-122,17,37.3,0,,1504,426,1,,4,22.59,50,3,0,,0,0,0,4,,1,0,3,0,2,1,1,3,0,1,3,,,,18,,,0,0,0,1,0,0,5,4,US,26,1,02C,293_8495,,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809637,1,1811,5,17,2019,6,99,3,0,0,2,1,26,,1,6,0,1,0026BG100S00,45,17,0.84,-121,42,58.38,0,,,,,,0,57.56,55,7,1,,0,0,0,1,,0,5,8,9,2,2,1,1,99,1,1,62,10,,1,,,0,0,0,0,1,0,,5,,,1,02C,293_6389,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810874,1,99981,4,7,2019,1,0,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,50.6,-122,33,59.51,0,,1940,9715,1,,7,5.69,35,1,0,1,0,0,0,0,0,,6,3,0,2,3,2,2,1,1,3,,,,4,19,,0,0,1,1,0,0,9,2,US,26,1,02B,293_12196,,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812266,1,5970,7,8,2019,2,14,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,52.99,-122,30,38.24,0,,1940,5148,1,,9,8.55,35,1,0,1,0,0,0,0,0,,2,B,1,2,1,1,1,1,1,3,,,,4,1,33,0,0,0,1,1,1,9,2,US,26,1,02B,293_18831,,0,4,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,5,5,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815964,1,99980,10,28,2019,2,6,26,83,57,14,1,26,,1,0,0,,002600100S00,45,28,36.69,-122,23,48.47,0,,1020,1534,1,,9,15.44,55,1,0,1,0,0,0,0,3,,4,H,6,2,1,1,3,2,1,3,10,,,2,,,,,0,1,0,0,8,4,US,26,1,02C,293_763,,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816804,1,4207,11,23,2019,7,19,3,0,0,2,1,26,,1,0,0,,002600100S00,45,22,0.53,-122,8,39.35,0,,,,,,0,30.93,55,7,1,,0,0,0,4,,1,1,8,9,2,1,1,3,99,1,1,96,10,1,30,,,,,1,1,1,0,,5,US,26,1,02C,293_14987,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826266,1,110,1,11,2019,6,12,3,0,0,2,1,26,,1,0,0,,002600100S00,45,17,2.03,-121,43,22.64,0,,,,,,0,56.1,55,3,0,,0,0,0,3,,0,3,G,2,4,2,1,1,0,1,1,,,,27,5,30,0,0,0,0,1,0,,5,US,26,1,02C,293_10845,,0,2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826321,1,207,1,18,2019,6,21,3,0,57,14,1,26,,1,0,0,,002600100S00,45,26,40.55,-122,21,38.88,0,,,,,,9,18.35,55,1,0,1,0,0,0,0,0,,1,H,6,4,3,2,3,0,1,1,,,,2,8,,,,0,0,0,0,,8,US,26,1,02C,293_6833,,0,2,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826490,1,97,4,15,2019,2,21,14,0,0,2,1,26,,1,0,0,,002600100S00,45,38,29.24,-121,30,51.65,0,,,,,,0,96.72,55,5,1,,0,0,0,2,,0,6,&,8,4,1,2,3,99,1,1,124,79,10,33,30,,0,0,0,0,1,0,,5,OR,35,1,02C,293_10891,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
